item	total	count part-1	specif part-1	count part-2	specif part-2
19	9	5	-0.65	4	0.65
ўрад	9	7	0.67	2	-0.67
дзяржава	9	9	1.70	0	-1.70
большая	9	5	-0.65	4	0.65
значэнне	9	5	-0.65	4	0.65
volvo	9	3	-1.36	6	1.36
такая	9	2	-1.99	7	1.99
hp	9	1	-2.85	8	2.85
цыкл	9	3	-1.36	6	1.36
electric	9	1	-2.85	8	2.85
прапануе	9	1	-2.85	8	2.85
id	9	2	-1.99	7	1.99
версій	9	0	-4.07	9	4.07
audi	9	0	-4.07	9	4.07
асобная	8	8	1.51	0	-1.51
заселеным	8	8	1.51	0	-1.51
вызначаюцца	8	8	1.51	0	-1.51
эканамічнага	8	8	1.51	0	-1.51
існуе	8	8	1.51	0	-1.51
23	8	8	1.51	0	-1.51
гадоў	8	7	0.87	1	-0.87
падшыпнікі	8	2	-1.64	6	1.64
гадз	8	4	-0.72	4	0.72
цыклам	8	2	-1.64	6	1.64
ведаем	8	3	-1.08	5	1.08
прымаць	8	5	0.55	3	0.55
ўяўляе	8	5	0.55	3	0.55
іншага	8	8	1.51	0	-1.51
краіне	8	8	1.51	0	-1.51
адносінах	8	5	0.55	3	0.55
маршы	8	8	1.51	0	-1.51
група	8	8	1.51	0	-1.51
органаў	8	8	1.51	0	-1.51
незалежнасць	8	8	1.51	0	-1.51
версія	8	1	-2.45	7	2.45
робіць	8	4	-0.72	4	0.72
з’ездзе	8	8	1.51	0	-1.51
адразу	8	7	0.87	1	-0.87
насельніцтва	8	8	1.51	0	-1.51
такога	8	5	0.55	3	0.55
стварэння	8	8	1.51	0	-1.51
жыхары	8	8	1.51	0	-1.51
пытанні	8	8	1.51	0	-1.51
францыі	8	7	0.87	1	-0.87
адміністрацыйную	8	8	1.51	0	-1.51
народу	8	6	0.59	2	-0.59
мова	8	8	1.51	0	-1.51
арганізацый	8	8	1.51	0	-1.51
60	8	2	-1.64	6	1.64
свой	8	5	0.55	3	0.55
самае	8	6	0.59	2	-0.59
гэтую	8	3	-1.08	5	1.08
беларускага	8	8	1.51	0	-1.51
можам	8	3	-1.08	5	1.08
рады	8	8	1.51	0	-1.51
варунках	8	8	1.51	0	-1.51
аўтокефалія	8	8	1.51	0	-1.51
розныя	8	6	0.59	2	-0.59
інстытутаў	8	8	1.51	0	-1.51
выкарыстоўваецца	8	7	0.87	1	-0.87
згодна	8	3	-1.08	5	1.08
лёсік	8	8	1.51	0	-1.51
чужынцаў	8	8	1.51	0	-1.51
сабе	8	8	1.51	0	-1.51
ужо	8	3	-1.08	5	1.08
беларускім	8	8	1.51	0	-1.51
годзі	8	8	1.51	0	-1.51
тая	8	2	-1.64	6	1.64
адносна	8	5	0.55	3	0.55
2018	8	4	-0.72	4	0.72
c	8	3	-1.08	5	1.08
самых	8	4	-0.72	4	0.72
цыкле	8	1	-2.45	7	2.45
кіламетры	8	3	-1.08	5	1.08
вышэй	8	2	-1.64	6	1.64
праехаць	8	3	-1.08	5	1.08
дзяржавамі	8	8	1.51	0	-1.51
самакіраванне	8	8	1.51	0	-1.51
спажыванне	8	3	-1.08	5	1.08
батарэя	8	2	-1.64	6	1.64
працягу	8	2	-1.64	6	1.64
эфектыўнасць	8	1	-2.45	7	2.45
аўтамабіляў	8	2	-1.64	6	1.64
першага	8	5	0.55	3	0.55
якім	8	7	0.87	1	-0.87
opel	8	0	-3.62	8	3.62
карабля	8	0	-3.62	8	3.62
matic	8	0	-3.62	8	3.62
optimus	8	0	-3.62	8	3.62
зноў	8	0	-3.62	8	3.62
уплывае	8	0	-3.62	8	3.62
gb	8	0	-3.62	8	3.62
ioniq	8	0	-3.62	8	3.62
акруга	7	7	1.32	0	-1.32
культурнага	7	7	1.32	0	-1.32
свабоднае	7	7	1.32	0	-1.32
новых	7	4	-0.57	3	0.57
жыцця	7	6	0.74	1	-0.74
39	7	1	-2.06	6	2.06
першапачаткова	7	3	-0.83	4	0.83
ўмяшання	7	5	0.53	2	0.53
кантэксце	7	6	0.74	1	-0.74
функцыя	7	2	-1.32	5	1.32
даць	7	6	0.74	1	-0.74
польшчы	7	6	0.74	1	-0.74
вялікую	7	4	-0.57	3	0.57
працэнтаў	7	5	0.53	2	0.53
кіраўніцтва	7	7	1.32	0	-1.32
стала	7	5	0.53	2	0.53
вялікі	7	5	0.53	2	0.53
раней	7	4	-0.57	3	0.57
ўдзел	7	7	1.32	0	-1.32
неўзабаве	7	6	0.74	1	-0.74
плануе	7	3	-0.83	4	0.83
іншым	7	5	0.53	2	0.53
з-за	7	4	-0.57	3	0.57
групы	7	2	-1.32	5	1.32
масквы	7	5	0.53	2	0.53
кампаніі	7	4	-0.57	3	0.57
дзве	7	2	-1.32	5	1.32
кюрасао	7	7	1.32	0	-1.32
палітыкі	7	6	0.74	1	-0.74
зша	7	4	-0.57	3	0.57
вынікі	7	5	0.53	2	0.53
звычайна	7	3	-0.83	4	0.83
незалежнасьць	7	5	0.53	2	0.53
дзень	7	4	-0.57	3	0.57
комі	7	7	1.32	0	-1.32
складае	7	2	-1.32	5	1.32
лічыць	7	5	0.53	2	0.53
стварэньня	7	7	1.32	0	-1.32
нагоды	7	5	0.53	2	0.53
першы	7	4	-0.57	3	0.57
людзей	7	6	0.74	1	-0.74
працэс	7	7	1.32	0	-1.32
аўтар	7	7	1.32	0	-1.32
сваё	7	2	-1.32	5	1.32
нашай	7	7	1.32	0	-1.32
зусім	7	6	0.74	1	-0.74
выпадак	7	4	-0.57	3	0.57
незалежнасьці	7	5	0.53	2	0.53
урад	7	7	1.32	0	-1.32
лукашэнкі	7	6	0.74	1	-0.74
відавочна	7	2	-1.32	5	1.32
вышэйшыя	7	7	1.32	0	-1.32
здольнасць	7	6	0.74	1	-0.74
афіцыйная	7	3	-0.83	4	0.83
нягледзячы	7	5	0.53	2	0.53
іншыя	7	4	-0.57	3	0.57
30	7	2	-1.32	5	1.32
грамадзянства	7	7	1.32	0	-1.32
сіл	7	3	-0.83	4	0.83
палестынскай	7	7	1.32	0	-1.32
аснове	7	3	-0.83	4	0.83
сеткі	7	5	0.53	2	0.53
акумулятары	7	4	-0.57	3	0.57
кіраванне	7	2	-1.32	5	1.32
магутнасці	7	1	-2.06	6	2.06
акумулятараў	7	3	-0.83	4	0.83
функцыі	7	1	-2.06	6	2.06
апошнія	7	2	-1.32	5	1.32
вам	7	2	-1.32	5	1.32
дэмакратычнай	7	7	1.32	0	-1.32
электрычнай	7	1	-2.06	6	2.06
дэ	7	7	1.32	0	-1.32
паказчыкі	7	2	-1.32	5	1.32
рынак	7	1	-2.06	6	2.06
паляпшэнні	7	1	-2.06	6	2.06
маск	7	1	-2.06	6	2.06
рэжыме	7	0	-3.16	7	3.16
электрычным	7	0	-3.16	7	3.16
рухавік	7	0	-3.16	7	3.16
h	7	0	-3.16	7	3.16
2-tech	7	0	-3.16	7	3.16
e-tron	7	0	-3.16	7	3.16
epa	7	0	-3.16	7	3.16
infinix	7	0	-3.16	7	3.16
bmw	7	0	-3.16	7	3.16
вобласць	6	6	1.14	0	-1.14
свету	6	6	1.14	0	-1.14
надаецца	6	6	1.14	0	-1.14
культур	6	6	1.14	0	-1.14
саветы	6	6	1.14	0	-1.14
16	6	6	1.14	0	-1.14
часопісы	6	4	0.48	2	0.48
канцы	6	6	1.14	0	-1.14
формы	6	6	1.14	0	-1.14
schaeffler	6	1	-1.67	5	1.67
e-niro	6	1	-1.67	5	1.67
афіцыйнай	6	4	0.48	2	0.48
непасрэднага	6	4	0.48	2	0.48
асабліва	6	4	0.48	2	0.48
моцны	6	5	0.62	1	-0.62
вядома	6	5	0.62	1	-0.62
сістэму	6	4	0.48	2	0.48
тэрыторыі	6	6	1.14	0	-1.14
прыхільнікаў	6	6	1.14	0	-1.14
суверэнітэту	6	6	1.14	0	-1.14
2020	6	5	0.62	1	-0.62
рэгіёнаў	6	6	1.14	0	-1.14
старшыня	6	6	1.14	0	-1.14
мясцовым	6	6	1.14	0	-1.14
ідэя	6	4	0.48	2	0.48
моцна	6	4	0.48	2	0.48
тэма	6	4	0.48	2	0.48
месяцаў	6	2	-1.01	4	1.01
стварэнні	6	6	1.14	0	-1.14
павінен	6	6	1.14	0	-1.14
правоў	6	6	1.14	0	-1.14
ліку	6	6	1.14	0	-1.14
рознай	6	3	-0.62	3	0.62
адзінай	6	6	1.14	0	-1.14
існавала	6	6	1.14	0	-1.14
нейкія	6	4	0.48	2	0.48
праект	6	6	1.14	0	-1.14
новую	6	4	0.48	2	0.48
парламента	6	6	1.14	0	-1.14
зрабіць	6	4	0.48	2	0.48
меншым	6	4	0.48	2	0.48
вярнуць	6	6	1.14	0	-1.14
выніку	6	5	0.62	1	-0.62
частак	6	6	1.14	0	-1.14
акругі	6	6	1.14	0	-1.14
прапануюць	6	3	-0.62	3	0.62
мая	6	5	0.62	1	-0.62
думку	6	3	-0.62	3	0.62
далей	6	5	0.62	1	-0.62
інтарэсаў	6	6	1.14	0	-1.14
пашырэння	6	5	0.62	1	-0.62
выбар	6	3	-0.62	3	0.62
паказвае	6	2	-1.01	4	1.01
прыклад	6	6	1.14	0	-1.14
чаму	6	4	0.48	2	0.48
партыі	6	5	0.62	1	-0.62
пэўных	6	5	0.62	1	-0.62
якой-небудзь	6	6	1.14	0	-1.14
розную	6	6	1.14	0	-1.14
разьвіцьця	6	6	1.14	0	-1.14
сяргей	6	6	1.14	0	-1.14
11	6	5	0.62	1	-0.62
кажуць	6	5	0.62	1	-0.62
правы	6	6	1.14	0	-1.14
расейскіх	6	6	1.14	0	-1.14
дзяржаўнага	6	6	1.14	0	-1.14
1999	6	6	1.14	0	-1.14
дзейнічае	6	5	0.62	1	-0.62
дзяржаўных	6	5	0.62	1	-0.62
спадар	6	6	1.14	0	-1.14
47	6	5	0.62	1	-0.62
ёй	6	5	0.62	1	-0.62
нічога	6	4	0.48	2	0.48
маскевіч	6	6	1.14	0	-1.14
уласным	6	6	1.14	0	-1.14
планы	6	4	0.48	2	0.48
пагаднення	6	6	1.14	0	-1.14
свабоды	6	6	1.14	0	-1.14
супраціў	6	4	0.48	2	0.48
мінск	6	6	1.14	0	-1.14
м	6	2	-1.01	4	1.01
наша	6	6	1.14	0	-1.14
свайго	6	5	0.62	1	-0.62
усіх	6	4	0.48	2	0.48
ды	6	6	1.14	0	-1.14
стварыць	6	6	1.14	0	-1.14
беларускаму	6	6	1.14	0	-1.14
палітычных	6	6	1.14	0	-1.14
свабоду	6	6	1.14	0	-1.14
